booking_id,origin_city,destination_city,cargo_type,delivery_status,priority,distance_km,freight_charge_inr,cargo_weight_kg,cargo_value_inr,is_delayed,is_express,is_long_haul
BK1862448,Mumbai,Nashik,Fmcg Goods,DELAYED,NORMAL,167,4167,4833,36943,1,0,0
BK4703858,Mumbai,Kolhapur,Perishables,DELAYED,NORMAL,373,9339,4856,30939,1,0,0
BK6986307,Solapur,Pune,Fmcg Goods,IN_TRANSIT,EXPRESS,248,11333,7310,53991,0,1,0
BK7738697,Mumbai,Aurangabad,Textiles,CANCELLED,NORMAL,335,7399,9224,31252,0,0,0
BK4898452,Mumbai,Solapur,Electronics,DELIVERED,NORMAL,455,14542,10204,472865,0,0,0
BK5562080,Aurangabad,Nashik,Textiles,CANCELLED,NORMAL,183,5472,4425,131488,0,0,0
BK8279292,Goa,Aurangabad,Pharmaceuticals,DELIVERED,EXPRESS,424,16113,1597,420160,0,1,0
BK8206964,Kolhapur,Nashik,Fmcg Goods,DELAYED,NORMAL,787,24516,10670,86340,1,0,1
BK7599455,Goa,Nagpur,Automobile Parts,DELIVERED,NORMAL,600,15716,2833,245651,0,0,1
BK2451056,Mumbai,Aurangabad,Fmcg Goods,DELIVERED,EXPRESS,335,15196,6846,75497,0,1,0
BK6155642,Kolhapur,Solapur,Fmcg Goods,DELIVERED,NORMAL,664,20558,8195,15526,0,0,1
BK8542648,Aurangabad,Solapur,Pharmaceuticals,DELIVERED,NORMAL,351,7046,2670,696257,0,0,0
BK1867107,Mumbai,Nagpur,Automobile Parts,DELAYED,NORMAL,834,23493,7140,86293,1,0,1
BK8765998,Kolhapur,Aurangabad,Textiles,IN_TRANSIT,NORMAL,393,9183,4457,20310,0,0,0
BK3685790,Nashik,Solapur,Textiles,BOOKED,NORMAL,333,10362,8150,119092,0,0,0
BK6643764,Solapur,Mumbai,Electronics,DELAYED,NORMAL,455,11119,7160,112080,1,0,0
BK4540391,Nashik,Pune,Pharmaceuticals,DELIVERED,NORMAL,211,4587,6063,162971,0,0,0
BK2220717,Pune,Nashik,Raw Materials,DELIVERED,NORMAL,211,6354,4218,15967,0,0,0
BK7563577,Solapur,Kolhapur,Perishables,DELIVERED,NORMAL,453,10681,3063,53709,0,0,0
BK8833862,Mumbai,Pune,Pharmaceuticals,DELIVERED,NORMAL,148,4661,7685,276135,0,0,0
BK3887966,Nagpur,Goa,Textiles,DELAYED,EXPRESS,358,11536,11958,93062,1,1,0
BK5614659,Aurangabad,Nashik,Perishables,DELAYED,NORMAL,183,5277,5779,14802,1,0,0
BK6924389,Aurangabad,Nagpur,Textiles,DELAYED,EXPRESS,503,19166,11351,63239,1,1,1
BK8077558,Pune,Kolhapur,Chemicals,DELIVERED,NORMAL,228,4145,5277,154852,0,0,0
BK5476721,Mumbai,Solapur,Raw Materials,DELAYED,EXPRESS,455,18644,2308,56360,1,1,0
BK9502017,Mumbai,Goa,Textiles,DELAYED,NORMAL,594,11848,11447,77246,1,0,1
BK4857425,Mumbai,Aurangabad,Pharmaceuticals,DELIVERED,NORMAL,335,8616,9402,587548,0,0,0
BK8822675,Mumbai,Aurangabad,Electronics,DELIVERED,NORMAL,335,7943,2724,376705,0,0,0
